,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
71,recipe-infos__level__container--level-2,"[""['500g  de crevette'"", "" '20g  de beurre'"", "" '1 oignon'"", ' ""2gousse  d\'ail""', "" '1cuillère à soupe  de curry'"", "" '250g  de tomate'"", "" '2cuillère à soupe  de jus de citron']""]",recipe-infos__level__container--level-2,Curry de crevettes (Sud de l'Inde),4 personnes,00h35,Plat principal,20,Yes,0
72,recipe-infos__level__container--level-1,"[""['300g  de crevette rose'"", "" '2cuillère à soupe  de crème'"", "" '1cuillère à café  de curry'"", ' ""2cuillère à café  d\'huile d\'olive""]']",recipe-infos__level__container--level-2,Crevettes au curry express,2 personnes,00h15,Plat principal,0,,0
73,recipe-infos__level__container--level-1,"[""['1boîte  de litchi'"", "" '200g  de crevette rose'"", "" '1bouquet  de menthe']""]",recipe-infos__level__container--level-1,Amuse-gueules litchi crevette,4 personnes,00h20,Amuse-gueule,0,,0
74,recipe-infos__level__container--level-2,"[""['800g  de crevette rose'"", "" '2 carotte'"", "" '3 tomate'"", "" '10cl  de vin blanc sec'"", "" '20cl  de crème fraîche'"", "" '1cuillère à soupe  de maïzena'"", "" '20g  de beurre'"", "" '1 bouquet garni'"", "" '1 oignon'"", "" '1 citron vert'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Blanquette de crevettes,4 personnes,00h55,Plat principal,20,Yes,0
75,recipe-infos__level__container--level-2,"[""['500g  de crevette'"", "" '20g  de beurre'"", "" '1 oignon'"", ' ""2gousse  d\'ail""', "" '1cuillère à soupe  de curry'"", "" '250g  de tomate'"", "" '2cuillère à soupe  de jus de citron']""]",recipe-infos__level__container--level-2,Curry de crevettes (Sud de l'Inde),4 personnes,00h35,Plat principal,20,Yes,0
76,recipe-infos__level__container--level-1,"[""['300g  de crevette rose'"", "" '2cuillère à soupe  de crème'"", "" '1cuillère à café  de curry'"", ' ""2cuillère à café  d\'huile d\'olive""]']",recipe-infos__level__container--level-2,Crevettes au curry express,2 personnes,00h15,Plat principal,0,,0
77,recipe-infos__level__container--level-1,"[""['1boîte  de litchi'"", "" '200g  de crevette rose'"", "" '1bouquet  de menthe']""]",recipe-infos__level__container--level-1,Amuse-gueules litchi crevette,4 personnes,00h20,Amuse-gueule,0,,0
78,recipe-infos__level__container--level-1,"[""['500g  de crevette rose'"", "" '20cl  de lait de coco'"", "" '1 poivron jaune'"", "" '1 citron vert'"", "" '1 tomate'"", ' ""1gousse  d\'ail""', "" ' Fines herbes'"", "" ' Huile']""]",recipe-infos__level__container--level-2,Crevettes au lait de coco,4 personnes,00h30,Plat principal,0,,0
79,recipe-infos__level__container--level-1,"[""['1 pomme de terre'"", ' ""1poignée  d\'haricot vert""', "" '1 oeuf'"", "" '1cuillère à soupe  de farine'"", "" ' Poivre'"", "" ' Sel'"", ' ""1cuillère à soupe  d\'huile""]']",recipe-infos__level__container--level-1,Croquettes de légumes,10 personnes,00h40,Accompagnement,0,,1
80,recipe-infos__level__container--level-1,"[""['1sachet  de purée'"", "" '20cl  de lait'"", ' ""40cl  d\'eau""', "" ' Sel'"", "" ' Poivre'"", "" ' Muscade'"", "" 'reste  de saumon'"", ' ""1sachet  d\'emmental""', "" '1 oeuf'"", "" ' Chapelure']""]",recipe-infos__level__container--level-1,croquettes rapides au saumon,4 personnes,00h30,Plat principal,0,,1
81,recipe-infos__level__container--level-2,"[""['300g  de mozzarella'"", "" '300g  de tomate cerise'"", "" '50g  de farine'"", "" '100g  de chapelure'"", "" '2 oeuf'"", ' "" Huile d\'arachide""]']",recipe-infos__level__container--level-1,Croquettes de mozzarella,2 personnes,00h20,Amuse-gueule,0,,2
82,recipe-infos__level__container--level-2,"[""['1bol  de riz'"", "" '2 carré frais'"", "" '2 oeuf'"", "" '2cuillère à soupe  de farine'"", "" ' Poivre'"", "" ' Sel'"", "" ' Huile']""]",recipe-infos__level__container--level-1,croquettes de riz,4 personnes,00h20,Entrée,0,,2
83,recipe-infos__level__container--level-2,"[""['125g  de beurre'"", "" '250g  de sucre'"", "" '1sachet  de sucre vanillé'"", "" '2 oeuf'"", ' ""60g  d\'amande""', "" '1cuillère à café  de cannelle'"", ' ""1cuillère à café  d\'Alcool""', "" '250g  de farine'"", "" '1/2sachet  de levure chimique']""]",recipe-infos__level__container--level-1,Croquettes à la cannelle,6 personnes,1h00,Confiserie,125,,2
84,recipe-infos__level__container--level-1,"[""['125g  de farine'"", "" '125g  de beurre'"", "" '125g  de cassonade'"", ' ""60g  de flocons d\'avoine""', "" '1kg  de pomme']""]",recipe-infos__level__container--level-1,Crumble facile,8 personnes,00h40,Dessert,125,,0
85,recipe-infos__level__container--level-1,"[""['1kg  de pomme'"", "" '150g  de farine'"", "" '75g  de beurre'"", "" '250g  de sucre semoule'"", "" '1cuillère à café rase  de cannelle'"", "" 'l  de glace vanille']""]",recipe-infos__level__container--level-1,Crumble aux pommes,6 personnes,00h45,Dessert,75,,0
86,recipe-infos__level__container--level-1,"[""['8 pêche'"", "" ' Sucre vanillé'"", "" ' Sucre roux'"", "" '150g  de farine'"", "" '50g  de sucre'"", "" '120g  de beurre'"", ' ""1 jaune d\'oeuf""', ' ""3cuillère à soupe  d\'amande""', "" '1pincée  de sel']""]",recipe-infos__level__container--level-2,Crumble d'été aux pêches,6 personnes,00h40,Dessert,120,,1
87,recipe-infos__level__container--level-1,"[""['6 tomate'"", "" '1 oignon'"", ' ""4cuillère à soupe  d\'huile d\'olive""', "" '6cuillère à soupe  de chapelure'"", "" '4cuillère à soupe  de parmesan']""]",recipe-infos__level__container--level-1,Crumble de tomates,4 personnes,1h05,Accompagnement,0,Yes,0
88,recipe-infos__level__container--level-1,"['[""125g  de poudre d\'amande""', "" '200g  de cassonade'"", "" '125g  de farine'"", "" '125g  de beurre'"", ' ""5 blanc d\'oeuf""', "" ' Arôme']""]",recipe-infos__level__container--level-1,Financier,8 personnes,00h50,Dessert,125,,5
89,recipe-infos__level__container--level-1,"['[""75g  de poudre d\'amande""', "" '100g  de beurre'"", "" '35g  de farine'"", "" '150g  de sucre glace'"", ' ""4 blanc d\'oeuf""', ' ""goutte  d\'extrait d\'amande amère""]']",recipe-infos__level__container--level-1,Financiers au bon goût d'amande,15 personnes,00h30,Dessert,100,,4
90,recipe-infos__level__container--level-2,"[""['100g  de beurre'"", "" '60g  de farine'"", ' ""40g  de poudre d\'amande""', "" '40g  de poudre de noisette'"", "" '150g  de sucre glace'"", ' ""4 blanc d\'oeuf""', "" '2poignée  de framboise']""]",recipe-infos__level__container--level-1,Financiers aux framboises,22 personnes,00h35,Dessert,100,,4
91,recipe-infos__level__container--level-1,"[""['25cl  de lait'"", "" '1/4gousse  de vanille'"", ' ""2 jaune d\'oeuf""', "" '50g  de sucre'"", "" '25g  de farine']""]",recipe-infos__level__container--level-1,Crème pâtissière à la vanille,4 personnes,00h30,Dessert,0,,2
92,recipe-infos__level__container--level-1,"[""['1 pâte brisée'"", "" '4 oeuf'"", "" '1l  de lait'"", "" '150g  de sucre'"", "" '90g  de maïzena'"", "" '1gousse  de vanille']""]",recipe-infos__level__container--level-1,Flan pâtissier traditionnel,8 personnes,1h00,Dessert,0,,4
93,recipe-infos__level__container--level-2,"[""['4 oeuf'"", "" '120g  de sucre en poudre'"", "" '120g  de farine']""]",recipe-infos__level__container--level-1,Génoise recette de pâtissier,4 personnes,00h20,Dessert,0,,4
94,recipe-infos__level__container--level-3,"[""['4 oeuf'"", "" '125g  de farine'"", "" '150g  de sucre'"", "" '100g  de chocolat pâtissier'"", "" '1paquet  de levure chimique'"", ' ""2 jaune d\'oeuf""', "" '50cl  de lait'"", "" '50g  de farine'"", "" '100g  de sucre'"", "" 'gousse  de vanille'"", "" '2 banane'"", "" '100g  de chocolat'"", "" '100g  de sucre glace'"", ' "" Pâte d\'amande""]']",recipe-infos__level__container--level-2,Bananier pâtissier,8 personnes,4h50,Dessert,0,,2
95,recipe-infos__level__container--level-1,"[""['1 pâte sablée'"", "" '1l  de lait'"", "" '6 oeuf'"", "" '200g  de sucre'"", "" '2sachet  de sucre vanillé'"", "" '80g  de farine'"", "" '80g  de maïzena'"", "" ' Gelée']""]",recipe-infos__level__container--level-1,Flan pâtissier simple,8 personnes,1h10,Dessert,0,,6
96,recipe-infos__level__container--level-1,"['[""2kg  d\'abricot""', ' ""1l  d\'eau""', "" ' Sucre']""]",recipe-infos__level__container--level-1,sirop d'abricot,4 personnes,24h5,Boisson,0,,0
97,recipe-infos__level__container--level-3,"[""['1l  de lait'"", "" ' Présure'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Faire un fromage de chêvre ou de vache,2 personnes,1h00,Accompagnement,0,,0
98,recipe-infos__level__container--level-1,"['[""6cuillère à soupe  de fleur d\'hibiscus""', ' ""1l  d\'eau""', "" ' Sucre']""]",recipe-infos__level__container--level-1,Karkadé (Egypte),1 personnes,00h20,Boisson,0,,0
99,recipe-infos__level__container--level-2,"[""['180g  de violette'"", ' ""75cl  d\'eau""', "" '375g  de sucre'"", ' ""15cl  d\'eau""]']",recipe-infos__level__container--level-2,Liqueur bleue à la violette,2 personnes,00h25,Boisson,0,,0
100,recipe-infos__level__container--level-2,"[""['1/2 magret de canard'"", "" '3 orange'"", "" '3 tomate'"", "" '2 fond'"", "" '5cuillère à soupe  de sucre'"", ' ""3cuillère à soupe  d\'eau""', "" '2cuillère à soupe  de vinaigre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Canard à l'orange et aux tomates,4 personnes,1h45,Plat principal,0,,0
101,recipe-infos__level__container--level-3,"[""['30g  de champignon'"", "" '2cuillère à soupe  de madère'"", "" '20g  de beurre'"", "" '10g  de farine'"", "" '1 oignon'"", "" '15cl  de bouillon de volaille'"", "" '10cl  de crème liquide'"", "" ' Poivre'"", "" ' Sel'"", "" '1cuillère à café  de maïzena']""]",recipe-infos__level__container--level-2,Sauce forestière facile,2 personnes,00h45,Sauce,20,Yes,0
102,recipe-infos__level__container--level-2,"[""[' Champignon'"", "" '50cl  de crème fraîche'"", "" '1 échalote'"", "" '1/2 cube de bouillon'"", "" 'branche  de persil'"", "" '1cuillère à café  de fond de volaille'"", "" '1goutte  de patrelle']""]",recipe-infos__level__container--level-2,Sauce forestière,4 personnes,00h20,Sauce,0,,0
103,recipe-infos__level__container--level-2,"[""['1boule  de pâte à pain'"", "" '100g  de lardons fumés'"", "" '180g  de champignon de Paris'"", "" '3cuillère à soupe  de crème fraîche'"", "" '1 oignon'"", "" '1pincée  de sel'"", "" '1pincée  de poivre'"", ' ""1cuillère à café  d\'ail""', "" '2brin  de ciboulette']""]",recipe-infos__level__container--level-1,Pizza forestière,2 personnes,24h16h00,Plat principal,0,Yes,0
104,recipe-infos__level__container--level-2,"[""['100g  de champignon de Paris'"", "" '50g  de gruyère râpé'"", "" '60g  de beurre'"", "" '60g  de maïzena'"", "" '40cl  de lait'"", "" '3 oeuf'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Soufflé forestier,4 personnes,1h05,Entrée,60,,3
105,recipe-infos__level__container--level-2,"[""['1 lapin'"", "" '150g  de poitrine fumée'"", "" '500g  de champignon de Paris'"", "" '3 oignon'"", "" '3 carotte'"", "" '1 échalote'"", ' ""2gousse  d\'ail""', "" '1 bouquet garni'"", "" '1/4l  de vin blanc sec'"", ' ""2cuillère à soupe  d\'huile""', "" ' Poivre'"", "" ' Sel'"", "" ' Persil'"", "" '1kg  de pomme de terre']""]",recipe-infos__level__container--level-2,Lapin forestière,4 personnes,1h05,Plat principal,0,Yes,0
106,recipe-infos__level__container--level-2,"[""['2l  de lait entier'"", "" '130g  de riz rond'"", "" '180g  de sucre'"", "" '5g  de cannelle']""]",recipe-infos__level__container--level-1,Teurgoule Normande,6 personnes,6h10,Dessert,0,,0
107,recipe-infos__level__container--level-3,"[""['2l  de lait entier'"", "" '180g  de riz rond'"", "" '200g  de sucre en poudre'"", "" '50g  de beurre'"", "" '1gousse  de vanille'"", "" '1cuillère à café  de cannelle'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,La Teurgoule de Nounoune,10 personnes,7h15,Dessert,50,,0
108,recipe-infos__level__container--level-3,"[""['1.5l  de lait'"", "" '150g  de riz rond'"", "" '125g  de sucre en poudre'"", "" ' Sel'"", "" ' Cannelle']""]",recipe-infos__level__container--level-1,Teurgoule du Pays d'Auge,4 personnes,3h10,Dessert,0,,0
109,recipe-infos__level__container--level-3,"[""['2l  de lait entier'"", "" '150g  de riz rond'"", "" '200g  de sucre'"", "" '1pincée  de sel'"", "" '2cuillère  de cannelle']""]",recipe-infos__level__container--level-2,Teurgoule (Pays d'Auge),6 personnes,9h10,Dessert,0,,0
110,recipe-infos__level__container--level-1,"[""['1l  de lait'"", "" '80g  de sucre en poudre'"", "" '80g  de riz rond']""]",recipe-infos__level__container--level-1,Teurgoule (riz au lait crémeux),6 personnes,1h05,Dessert,0,,0
111,recipe-infos__level__container--level-1,"[""['6 tomate'"", "" '1 concombre'"", "" '1 poivron rouge'"", "" '1 poivron jaune'"", "" '2 oignon'"", ' ""1gousse  d\'ail""', "" '3 citron'"", "" '6cuillère à soupe  de vinaigre'"", ' "" Huile d\'olive""', "" ' Basilic'"", "" ' Piment'"", "" ' Poivre'"", ' ""1verre  d\'eau""', "" ' Glaçons']""]",recipe-infos__level__container--level-1,Gaspacho,5 personnes,00h15,Entrée,0,Yes,0
112,recipe-infos__level__container--level-1,"[""['1grosse boîte  de tomate'"", "" '1/2 poivron vert'"", "" '1/2 concombre'"", "" '1 échalote'"", ' ""1gousse  d\'ail""', ' ""2cuillère à soupe  d\'huile d\'olive""', "" '1/2cuillère à café  de vinaigre balsamique'"", "" ' Tabasco'"", "" '1/2cuillère à café  de sucre'"", "" ' Poivre'"", "" ' Sel'"", ' ""15cl  d\'eau""]']",recipe-infos__level__container--level-1,Gaspacho express ( Espagne ),4 personnes,00h15,Entrée,0,,0
113,recipe-infos__level__container--level-2,"[""['1.5kg  de pomme de terre'"", ' ""2gousse  d\'ail""', "" '30cl  de crème'"", "" '100g  de beurre'"", "" '1l  de lait'"", "" ' Muscade'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Gratin Dauphinois,6 personnes,1h25,Plat principal,100,,0
114,recipe-infos__level__container--level-1,"[""['1kg  de pomme de terre'"", "" '500g  de crème fraîche'"", "" '50cl  de lait'"", "" ' Poivre'"", "" ' Sel'"", "" ' Muscade'"", ' ""1gousse  d\'ail""]']",recipe-infos__level__container--level-1,Gratin dauphinois du chat qui fume,6 personnes,1h20,Accompagnement,0,,0
115,recipe-infos__level__container--level-1,"[""['1kg  de pomme de terre'"", "" '1l  de crème liquide'"", ' ""2gousse  d\'ail""', "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Gratin dauphinois (recette originale),5 personnes,1h30,Accompagnement,0,,0
116,recipe-infos__level__container--level-1,"[""['500g  de pomme de terre'"", "" '1pot  de crème fraîche'"", "" '1verre  de lait'"", "" '300g  de gruyère râpé'"", ' ""1gousse  d\'ail""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Gratin Dauphinois de Claudie,2 personnes,1h30,Accompagnement,0,,0
117,recipe-infos__level__container--level-2,"[""['1 oeuf'"", "" '30g  de sucre'"", "" '15cl  de lait'"", ' ""1cuillère à café  d\'extrait de vanille""', "" '1pincée  de sel'"", "" '10g  de caramel']""]",recipe-infos__level__container--level-1,île flottante très facile,2 personnes,00h25,Dessert,0,,1
118,recipe-infos__level__container--level-3,"[""['60cl  de lait'"", "" '60g  de sucre en poudre'"", "" '1gousse  de vanille'"", "" '5 oeuf'"", "" '1pincée  de sel'"", "" '130g  de sucre glace'"", ' ""60g  d\'amande""]']",recipe-infos__level__container--level-2,Ile flottante,4 personnes,00h45,Dessert,0,,5
119,recipe-infos__level__container--level-2,"[""['4 oeuf'"", "" '60cl  de lait'"", "" '1gousse  de vanille'"", ' ""30g  d\'amande""', "" '130g  de sucre en poudre'"", "" '60g  de sucre en morceaux'"", "" '1/2 citron'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-2,Îles flottantes,4 personnes,00h35,Dessert,0,,4
120,recipe-infos__level__container--level-2,"[""['1 oeuf'"", "" ' Amande'"", "" ' Caramel'"", "" '35g  de sucre en poudre'"", "" '1gousse  de vanille'"", "" '12.5cl  de lait']""]",recipe-infos__level__container--level-1,Iles flottantes,1 personnes,00h30,Dessert,0,,1
121,recipe-infos__level__container--level-2,"[""['1kg  de sauté de porc'"", "" '2 oignon'"", "" '3 carotte'"", "" '30g  de beurre'"", ' ""2cuillère à soupe  d\'huile d\'olive""', "" '25cl  de vin blanc'"", ' ""25cl  d\'eau""', "" '20cl  de crème fraîche épaisse'"", "" '2cuillère à soupe  de moutarde'"", "" '2cuillère à soupe  de farine']""]",recipe-infos__level__container--level-1,Sauté de porc à la crème de moutarde,4 personnes,00h40,Plat principal,30,Yes,0
122,recipe-infos__level__container--level-1,"[""['1 pâte feuilletée'"", "" '2boîte  de thon'"", "" '2 tomate'"", "" '3cuillère à soupe  de moutarde'"", "" '2 oeuf'"", "" '20cl  de crème fraîche'"", "" '3cuillère à soupe  de lait'"", "" '1pincée  de sel'"", "" '2pincée  de poivre']""]",recipe-infos__level__container--level-1,"Tarte thon, tomate et moutarde",4 personnes,00h55,Entrée,0,,2
123,recipe-infos__level__container--level-1,"[""['1 lapin'"", "" '1bouteille  de vin blanc sec'"", "" '1 moutarde de dijon'"", "" '1petit pot  de crème fraîche'"", ' "" Huile d\'olive""', ' ""2gousse  d\'ail""', "" '5 échalote'"", "" '3 feuille de laurier'"", "" '1branche  de thym'"", "" ' Persil'"", "" ' Poivre'"", "" ' Sel'"", "" '1morceau  de sucre'"", "" '1 carotte']""]",recipe-infos__level__container--level-1,Lapin à la moutarde maison,1 personnes,1h00,Plat principal,0,,0
124,recipe-infos__level__container--level-1,"[""['4 filet de poulet'"", "" '1 échalote'"", "" '1pot  de crème fraîche épaisse'"", "" '2cuillère à soupe  de moutarde'"", "" '20g  de beurre'"", ' ""1cuillère à soupe  d\'huile""]']",recipe-infos__level__container--level-1,Filets de poulet à la moutarde et à la crème,4 personnes,00h25,Plat principal,20,,0
125,recipe-infos__level__container--level-1,"[""['1 filet mignon'"", "" '25cl  de vin blanc sec'"", "" '1 bouillon'"", "" '40cl  de crème fraîche'"", "" '500g  de champignon'"", "" ' Moutarde'"", ' "" Huile d\'olive""', "" ' Beurre']""]",recipe-infos__level__container--level-2,Filet mignon de porc à la moutarde,4 personnes,1h05,Plat principal,0,,0
126,recipe-infos__level__container--level-1,"[""[' Pâte à lasagne'"", "" '600g  de sauce bolognaise'"", "" '350g  de viande hachée'"", "" '1 oignon'"", "" '100g  de gruyère râpé'"", "" '1/2l  de lait'"", "" '2grosse cuillère à soupe  de farine'"", "" '125g  de beurre']""]",recipe-infos__level__container--level-1,Lasagnes à la bolognaise très facile,4 personnes,1h05,Plat principal,125,Yes,0
127,recipe-infos__level__container--level-3,"[""['1paquet  de pâtes'"", "" '3 oignon jaune'"", ' ""2gousse  d\'ail""', "" '1branche  de céleri'"", "" '1 carotte'"", "" '600g  de viande'"", "" '800g  de purée de tomate'"", ' ""15cl  d\'eau""', "" '20cl  de vin rouge'"", "" '2 feuille de laurier'"", "" ' Thym'"", "" ' Basilic'"", "" '3pincée  de muscade'"", "" '70g  de fromage râpé'"", "" '125g  de parmesan'"", "" '100g  de farine'"", "" '100g  de beurre doux'"", "" '1l  de lait'"", "" '25g  de beurre doux']""]",recipe-infos__level__container--level-2,Lasagnes à la bolognaise,8 personnes,2h15,Plat principal,25,Yes,0
128,recipe-infos__level__container--level-2,"[""['6 tomate'"", "" '4 courgette'"", "" ' Poivre'"", "" ' Sel'"", "" ' Basilic frais'"", "" ' Herbes de Provence'"", "" ' Lasagnes'"", "" '400g  de gruyère râpé'"", "" '200g  de coulis de tomate'"", "" '4 oignon'"", "" '50cl  de béchamel']""]",recipe-infos__level__container--level-1,Lasagnes végétariennes (facile),4 personnes,1h20,Plat principal,0,Yes,0
129,recipe-infos__level__container--level-3,"[""['4 aubergine'"", "" '8feuille  de lasagnes'"", "" '500g  de coulis de tomate'"", "" '1 carotte'"", "" '1 oignon'"", "" '25g  de beurre'"", "" '25g  de farine'"", "" '50cl  de bouillon'"", "" '50g  de parmesan'"", "" '150g  de comté'"", "" ' Herbes de Provence'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-2,Lasagnes d'aubergines,4 personnes,1h40,Plat principal,25,Yes,0
130,recipe-infos__level__container--level-2,"[""['150g  de farine'"", "" '60g  de sucre'"", "" '1/2sachet  de levure'"", "" '3 oeuf'"", "" '125g  de beurre'"", "" '150g  de chocolat']""]",recipe-infos__level__container--level-1,madeleines,12 personnes,00h41,Dessert,125,,3
131,recipe-infos__level__container--level-1,"[""['3 oeuf'"", "" '150g  de sucre en poudre'"", "" '150g  de farine'"", "" '125g  de beurre'"", "" '1/2cuillère à café  de levure'"", "" '1 yaourt nature'"", "" ' Citron']""]",recipe-infos__level__container--level-1,Madeleines rapides,15 personnes,00h20,Dessert,125,,3
132,recipe-infos__level__container--level-1,"[""['60g  de beurre'"", "" '125g  de farine'"", "" '125g  de sucre'"", ' ""1cuillère  d\'eau de fleur d\'oranger""', ' ""3 jaune d\'oeuf""', ' ""3 blanc d\'oeuf""]']",recipe-infos__level__container--level-1,Madeleines faciles,12 personnes,00h35,Dessert,60,,3
133,recipe-infos__level__container--level-1,"[""['150g  de farine'"", "" '2 oeuf'"", "" '100g  de sucre'"", "" '125g  de beurre'"", "" '1zeste  de citron'"", "" '1pincée  de levure chimique']""]",recipe-infos__level__container--level-1,Madeleines,6 personnes,00h20,Dessert,125,,2
134,recipe-infos__level__container--level-1,"[""['125g  de beurre'"", "" '3 oeuf'"", "" '130g  de sucre en poudre'"", "" '1cuillère à soupe rase  de miel'"", "" '150g  de farine'"", "" '1/2sachet  de levure'"", "" '1 citron'"", "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,Madeleines au miel,24 personnes,00h20,Dessert,125,,3
135,recipe-infos__level__container--level-2,"[""['200g  de farine de blé'"", "" '2 oeuf'"", "" '1pincée  de gros sel'"", "" ' Lait'"", "" '1 laitue'"", "" '1paquet  de surimi'"", "" '30cl  de crème fraîche'"", "" '3 citron'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Millefeuille de crêpes,8 personnes,00h50,Entrée,0,,2
136,recipe-infos__level__container--level-2,"[""['320g  de farine'"", "" '14g  de levure'"", "" '12cl  de lait entier'"", "" '20g  de beurre'"", "" '50g  de sucre en poudre'"", ' ""3cl  d\'eau de fleur d\'oranger""', "" '1 oeuf'"", "" '1pincée  de sel'"", "" ' Beurre']""]",recipe-infos__level__container--level-1,Beignets sans friture,6 personnes,00h25,Dessert,20,,1
137,recipe-infos__level__container--level-1,"['[""500g  d\'eau""', "" '30g  de beurre'"", "" '380g  de farine'"", "" '380g  de farine'"", "" '2cuillère à café  de sel'"", "" '1paquet  de levure'"", "" '20g  de sésame']""]",recipe-infos__level__container--level-1,PAIN MAISON (avec machine à pain),4 personnes,00h50,Accompagnement,30,,0
138,recipe-infos__level__container--level-1,"[""['24 huître'"", "" ' Emmental']""]",recipe-infos__level__container--level-2,Huîtres gratinées toutes simples,4 personnes,00h35,Entrée,0,,0
139,recipe-infos__level__container--level-1,"[""['2 mangue'"", "" '3 oeuf'"", "" '1/4l  de lait'"", "" '25cl  de crème liquide'"", ' ""1pincée  d\'anis en poudre""', "" '100g  de sucre en poudre'"", "" '4 étoile de badiane'"", "" 'feuille  de menthe']""]",recipe-infos__level__container--level-1,Crème à la mangue,4 personnes,00h45,Dessert,0,,3
140,recipe-infos__level__container--level-2,"[""['2kg  de sanglier'"", "" '1/2kg  de lard'"", "" '1/2kg  de chair à saucisse'"", "" '300g  de foie'"", "" '1 crépine'"", "" '2 oeuf'"", "" '1boîte  de poivre vert'"", "" '1grosse poignée  de pain'"", "" ' Poivre'"", "" ' Sel'"", "" ' épices'"", "" '3/4l  de vin blanc sec'"", "" '1/4l  de vinaigre'"", "" ' Oignon'"", "" ' Poivre'"", "" ' Sel'"", "" ' Thym'"", "" ' Laurier'"", "" ' Genièvre'"", "" ' Cumin'"", "" ' Coriandre'"", "" '1 gingembre'"", "" ' Quatre-épices']""]",recipe-infos__level__container--level-2,Terrine de sanglier,12 personnes,3h00,Entrée,0,,2
141,recipe-infos__level__container--level-3,"[""['1 pintade'"", "" '200g  de foie gras'"", "" '250g  de girolle'"", "" '250g  de trompette de la mort'"", "" '250g  de cèpe'"", "" '250g  de mousseron'"", "" '1cuillère à soupe  de cognac'"", "" '1cuillère à soupe  de jus de citron'"", "" '1cuillère à soupe  de ciboulette'"", "" '1cuillère à soupe  de cerfeuil'"", "" '1/2cuillère à café  de quatre-épices'"", ' ""1cuillère à soupe  d\'huile""', "" '40g  de beurre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-3,Pintade au foie gras et fricassée forestière,6 personnes,2h00,Plat principal,40,,0
142,recipe-infos__level__container--level-2,"[""['2poignée  de mousseron'"", "" '1/2 oignon'"", "" '1 échalote'"", ' ""10cl  d\'huile""', "" '10cl  de crème fraîche'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Sauce aux mousserons,2 personnes,00h15,Sauce,0,Yes,0
143,recipe-infos__level__container--level-2,"[""['6 quenelle'"", "" '1tranche  de jambon blanc'"", "" '100g  de mousseron'"", "" '20cuillère à café  de crème fraîche liquide'"", "" '50g  de gruyère']""]",recipe-infos__level__container--level-1,Quenelles aux mousserons,2 personnes,00h40,Accompagnement,0,,0
144,recipe-infos__level__container--level-1,"[""['1 pâte brisée'"", "" '250g  de mousseron'"", "" '1 oignon'"", "" '40g  de beurre'"", "" '40g  de farine'"", "" '500g  de lait'"", "" ' Poivre'"", "" ' Sel'"", "" ' Muscade']""]",recipe-infos__level__container--level-1,Tarte aux mousserons,6 personnes,1h05,Entrée,40,Yes,0
145,recipe-infos__level__container--level-1,"[""['2kg  de moules'"", "" '3 échalote'"", "" '60cl  de vin blanc sec'"", "" '100g  de beurre'"", "" '20cl  de crème fraîche'"", "" '300g  de mousseron'"", "" ' Citron'"", ' "" Huile d\'olive""', "" ' Cerfeuil'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Cassolettes de moules aux mousserons,4 personnes,00h45,Entrée,100,,0
146,recipe-infos__level__container--level-1,"[""['250ml  de farine'"", "" '5ml  de bicarbonate'"", "" '1sachet  de levure chimique'"", "" '1 sel'"", "" '500ml  de farine'"", "" '1 oeuf'"", "" '250ml  de lait'"", "" '125ml  de miel']""]",recipe-infos__level__container--level-1,muffins au son,4 personnes,00h30,Accompagnement,0,,1
147,recipe-infos__level__container--level-2,"[""['175g  de farine'"", "" '100g  de sucre en poudre'"", "" '1.5 levure'"", "" '1pincée  de sel'"", "" '50g  de beurre'"", "" '10cl  de lait'"", "" '2 pomme'"", "" '2 oeuf'"", "" '80g  de noix'"", "" ' Noisette']""]",recipe-infos__level__container--level-1,Muffins aux pommes,16 personnes,00h35,Dessert,50,,2
148,recipe-infos__level__container--level-1,"[""['3 banane'"", "" '75g  de sucre'"", "" '1 oeuf'"", "" '1cuillère à café  de bicarbonate'"", "" '1cuillère à café  de levure'"", "" '1/2cuillère à café  de sel'"", "" '150g  de farine'"", "" '70g  de beurre']""]",recipe-infos__level__container--level-1,Muffins à la banane,6 personnes,00h30,Dessert,70,,1
