,cost,ingredients,level,name,quantity,total_time,type,beurre,oignon,oeuf
80,recipe-infos__level__container--level-1,"[""['250g  de farine'"", "" '4 oeuf'"", ' ""8cl  d\'huile""', "" '8cl  de vin blanc sec'"", "" '200g  de feta'"", "" '250g  de tomate cerise'"", "" '150g  de gruyère râpé'"", "" '1sachet  de levure chimique'"", "" '25g  de graines de courge'"", "" ' Herbes de Provence']""]",recipe-infos__level__container--level-1,Cake à la feta et tomates cerise,4 personnes,1h10,Entrée,0,,4
81,recipe-infos__level__container--level-1,"[""['350g  de cerise'"", "" '50g  de cassonade'"", "" '50g  de sucre semoule'"", "" '100g  de farine'"", "" '100g  de beurre']""]",recipe-infos__level__container--level-1,Crumble aux cerises,4 personnes,00h45,Dessert,100,,0
82,recipe-infos__level__container--level-2,"[""['1 pâte feuilletée'"", ' ""1 jaune d\'oeuf""', "" '1sachet  de sucre vanillé'"", "" ' Muscade'"", ' ""2cuillère à soupe  de poudre d\'amande""', "" '40 cerise']""]",recipe-infos__level__container--level-1,Chaussons aux cerises,4 personnes,00h45,Dessert,0,,1
83,recipe-infos__level__container--level-1,"[""['200g  de farine'"", "" '150g  de jambon'"", "" '100g  de gruyère râpé'"", "" '3 oeuf'"", "" '10cl  de lait'"", ' ""10cl  d\'huile d\'olive""', "" '2cuillère à soupe  de ciboulette'"", "" '6pincée  de muscade'"", "" ' Poivre'"", "" '1sachet  de levure chimique'"", "" '1noix  de beurre']""]",recipe-infos__level__container--level-1,Cake salé jambon ciboulette,6 personnes,00h50,Entrée,1,,3
84,recipe-infos__level__container--level-1,"[""['25cl  de crème fraîche'"", "" '40g  de beurre'"", "" '1cuillère à café  de moutarde'"", "" ' Ciboulette'"", ' ""2gousse  d\'ail""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Sauce ciboulette,4 personnes,00h25,Sauce,40,,0
85,recipe-infos__level__container--level-1,"[""['4pavé  de saumon'"", "" '200g  de beurre'"", "" '2 citron'"", "" 'brin  de ciboulette'"", "" ' Poivre'"", "" ' Riz sauvage']""]",recipe-infos__level__container--level-2,Saumon à la ciboulette,4 personnes,00h30,Plat principal,200,,0
86,recipe-infos__level__container--level-2,"[""['2 carré frais'"", "" '5cuillère à soupe  de ciboulette'"", "" '5cuillère à soupe  de jus de citron'"", "" '1pincée  de poivre'"", "" '16 Blini']""]",recipe-infos__level__container--level-1,Blinis faciles à la ciboulette,2 personnes,00h10,Amuse-gueule,0,,0
87,recipe-infos__level__container--level-2,"[""['3 oeuf'"", "" '100g  de sucre'"", "" '110g  de farine'"", "" '1zeste  de citron'"", "" '3g  de levure'"", "" '90g  de beurre']""]",recipe-infos__level__container--level-1,Madeleines au citron,18 personnes,00h27,Dessert,90,,3
88,recipe-infos__level__container--level-1,"[""['3cuillère à soupe  de beurre'"", "" '1 oignon'"", "" '250g  de champignon de Paris'"", "" '2cuillère à soupe  de farine'"", "" '1/4l  de bouillon'"", "" '1/2l  de lait'"", "" '1 citron'"", "" '2cuillère à soupe  de crème fraîche'"", "" '1cuillère à soupe  de persil'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Velouté de champignons,3 personnes,00h50,Entrée,3,Yes,0
89,recipe-infos__level__container--level-2,"[""['1barquette  de champignon de Paris'"", "" '4 pomme de terre'"", "" '1 oignon'"", ' ""4gousse  d\'ail""', "" ' Poivre'"", "" ' Sel'"", "" ' Muscade'"", "" ' Persil'"", "" '1 kub or'"", "" ' Crème liquide']""]",recipe-infos__level__container--level-1,Soupe de champignons,5 personnes,00h40,Entrée,0,Yes,0
90,recipe-infos__level__container--level-1,"[""['1 rôti de veau'"", "" '40g  de beurre'"", "" '1 oignon'"", "" ' Poivre'"", "" ' Sel'"", "" '6cuillère à café  de fond de veau'"", "" '1verre  de vin blanc'"", ' ""1cuillère à soupe  d\'herbes de Provence""', "" '1cuillère à soupe  de basilic'"", "" '500g  de champignon de Paris']""]",recipe-infos__level__container--level-2,Rôti de veau en cocotte aux champignons,6 personnes,00h50,Plat principal,40,Yes,0
91,recipe-infos__level__container--level-1,"[""['800g  de potiron'"", "" '200g  de lardons'"", "" '5 oignon'"", "" ' Beurre'"", "" ' Châtaigne']""]",recipe-infos__level__container--level-1,Velouté de potiron aux châtaignes,6 personnes,00h40,Entrée,0,Yes,0
92,recipe-infos__level__container--level-2,"[""['500g  de châtaigne'"", "" '3filet  de poulet'"", "" '1 cube de bouillon'"", "" ' Crème fraîche'"", "" '1cuillère à soupe  de liant'"", "" ' Poivre'"", "" ' Sel'"", "" ' Beurre']""]",recipe-infos__level__container--level-2,Poulet aux châtaignes,3 personnes,2h00,Plat principal,0,,0
93,recipe-infos__level__container--level-2,"[""[' Châtaigne'"", "" '5l  de lait'"", "" ' Sucre en poudre'"", "" '50g  de beurre']""]",recipe-infos__level__container--level-1,crème de châtaignes,4 personnes,00h45,Dessert,50,,0
94,recipe-infos__level__container--level-1,"[""['1bûche  de fromage de chèvre'"", "" '1 pâte feuilletée'"", "" '1 oeuf'"", "" ' Basilic']""]",recipe-infos__level__container--level-1,Chèvre en feuilleté,4 personnes,00h35,Entrée,0,,1
95,recipe-infos__level__container--level-1,"[""['1 pâte brisée'"", "" '3 courgette'"", "" '2 oeuf'"", "" '25cl  de lait'"", "" '25cl  de crème fraîche'"", "" '150g  de chèvre frais'"", "" ' Herbes de Provence'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Quiche aux courgettes et au chèvre,4 personnes,00h50,Plat principal,0,,2
96,recipe-infos__level__container--level-1,"[""['2 courgette'"", "" '5 fromage de chèvre'"", "" '25cl  de lait'"", "" '1cuillère à soupe  de maïzena'"", "" '5plaque  de lasagnes'"", "" '30g  de gruyère râpé'"", "" ' Sel'"", "" ' Poivre'"", "" ' Muscade']""]",recipe-infos__level__container--level-1,Lasagnes aux courgettes et au chèvre,2 personnes,00h35,Plat principal,0,,0
97,recipe-infos__level__container--level-1,"[""['1rouleau  de pâte feuilletée'"", "" '3 poireau'"", "" '1tranche  de jambon'"", "" '2 chèvre frais'"", "" '25cl  de crème liquide'"", ' ""2 jaune d\'oeuf""]']",recipe-infos__level__container--level-1,"Tourte Poireaux, Jambon et Chèvre",4 personnes,00h40,Entrée,0,,2
98,recipe-infos__level__container--level-1,"[""['1 oignon'"", ' ""1gousse  d\'ail""', "" '400g  de viande'"", ' ""400g  d\'haricot rouge""', "" '400g  de tomate pelée'"", "" '2cuillère à café  de chili'"", "" ' Poivre'"", "" ' Sel'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-1,Chili con carne express,3 personnes,00h35,Plat principal,0,Yes,0
99,recipe-infos__level__container--level-1,"[""['50g  de beurre'"", "" '2 oignon'"", ' ""2gousse  d\'ail""', "" '500g  de boeuf haché'"", "" '1cuillère à café  de chili'"", "" '2cuillère à café  de cumin en poudre'"", "" '65g  de concentré de tomates'"", ' ""1grosse boîte  d\'haricot rouge""', "" '30cl  de bouillon de boeuf'"", "" ' Sel'"", "" ' Poivre'"", "" ' Persil']""]",recipe-infos__level__container--level-1,Chili con carne facile,4 personnes,00h35,Plat principal,50,Yes,30
100,recipe-infos__level__container--level-2,"[""['200g  de lardons'"", "" '1demi  de chorizo'"", "" '400g  de viande hachée'"", "" '2 poivron rouge'"", "" '1 oignon'"", ' ""1gousse  d\'ail""', ' ""1boîte  d\'haricot rouge""', "" '1boîte  de concentré de tomates'"", "" '1verre  de vin rouge'"", ' ""1verre  d\'eau""', "" '1cuillère  de paprika'"", "" ' Persil'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Chili con carne simple,4 personnes,1h30,Plat principal,0,Yes,0
101,recipe-infos__level__container--level-2,"[""['600g  de boeuf haché'"", "" '4 tomate'"", "" '1 poivron rouge'"", "" '1 oignon'"", ' ""1gousse  d\'ail""', "" '4cuillère à café rase  de piment'"", "" '1boîte  de maïs'"", ' ""1boîte  d\'haricot rouge""', "" ' Coriandre'"", "" ' Basilic frais'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Chili à ma manière,4 personnes,1h20,Plat principal,0,Yes,600
102,recipe-infos__level__container--level-1,"[""['3verre  de riz'"", ' "" Huile d\'olive""', "" ' Beurre'"", "" '2verre  de vin blanc'"", "" ' Parmesan'"", "" '1 oignon'"", "" '1l  de bouillon de volaille'"", "" '1 oignon'"", ' "" Huile d\'olive""', "" '2 blanc de poulet'"", "" '1 chorizo'"", "" '1 poivron rouge'"", "" '1 poivron vert'"", "" '1 poivron jaune'"", "" '2poignée  de petit pois']""]",recipe-infos__level__container--level-2,Risotto au poulet et chorizo,6 personnes,00h45,Plat principal,0,Yes,0
103,recipe-infos__level__container--level-2,"[""['6 oeuf'"", "" '240g  de farine'"", "" '1.5sachet  de levure chimique'"", "" '45g  de gruyère râpé'"", ' ""9cuillère à soupe  d\'huile""', "" '350g  de courgette'"", "" '180g  de chorizo']""]",recipe-infos__level__container--level-1,Madeleines salées courgette chorizo,40 personnes,00h20,Amuse-gueule,0,,6
104,recipe-infos__level__container--level-2,"[""['500g  de pâtes'"", "" '1 chorizo'"", "" '1 oignon'"", "" '4tranche  de jambon'"", "" '4 tomate'"", "" '1petite boîte  de concentré de tomates'"", "" ' Poivre'"", "" ' Sel'"", "" ' Herbes de Provence']""]",recipe-infos__level__container--level-1,Gratin de pâtes au chorizo,4 personnes,00h55,Plat principal,0,Yes,0
105,recipe-infos__level__container--level-1,"[""['1kg  de sauté'"", "" '1 chorizo'"", "" '2boîte  de pulpe de tomate'"", ' ""1pot  d\'olive verte""', "" '4 oignon'"", "" '1bouquet  de basilic'"", "" '1 bouquet garni'"", ' ""1gousse  d\'ail""', ' ""2cuillère à soupe  d\'huile""]']",recipe-infos__level__container--level-1,Sauté de veau au chorizo,6 personnes,1h20,Plat principal,0,Yes,0
106,recipe-infos__level__container--level-1,"[""['1 chou'"", "" '2barquette  de lardons'"", "" '1filet  de crème']""]",recipe-infos__level__container--level-1,Chou campagnard,4 personnes,00h35,Plat principal,0,,0
107,recipe-infos__level__container--level-1,"[""['1 chou-fleur'"", "" '25g  de beurre'"", "" '30g  de farine'"", "" '1 bouillon de volaille'"", ' ""40cl  d\'eau""', "" '5cl  de crème'"", "" '50g  de fromage râpé'"", "" ' Sel'"", "" ' Poivre'"", "" ' Muscade']""]",recipe-infos__level__container--level-1,Gratin de chou-fleur léger,4 personnes,00h50,Accompagnement,25,,0
108,recipe-infos__level__container--level-1,"[""['1 chou-fleur'"", "" '2 pomme de terre'"", ' ""750ml  d\'eau""', "" '1 bouillon'"", "" ' Origan'"", "" ' Poivre'"", "" ' Sel'"", "" '50g  de beurre'"", "" '2cuillère à soupe  de crème fraîche']""]",recipe-infos__level__container--level-1,Velouté de chou- fleur,6 personnes,00h35,Entrée,50,,0
109,recipe-infos__level__container--level-1,"[""['1 chou-fleur'"", "" '2tranche  de jambon'"", "" '20cl  de crème fraîche'"", "" '150g  de gruyère râpé']""]",recipe-infos__level__container--level-1,Chou-fleur gratiné au jambon,4 personnes,1h00,Plat principal,0,,0
110,recipe-infos__level__container--level-1,"[""['1 chou-fleur'"", "" '25g  de beurre'"", "" '30g  de farine'"", "" '1 bouillon de volaille'"", ' ""40cl  d\'eau""', "" '5cl  de crème'"", "" '50g  de fromage râpé'"", "" ' Sel'"", "" ' Poivre'"", "" ' Muscade']""]",recipe-infos__level__container--level-1,Gratin de chou-fleur léger,4 personnes,00h50,Accompagnement,25,,0
111,recipe-infos__level__container--level-1,"[""['1 chou-fleur'"", "" '2 pomme de terre'"", ' ""750ml  d\'eau""', "" '1 bouillon'"", "" ' Origan'"", "" ' Poivre'"", "" ' Sel'"", "" '50g  de beurre'"", "" '2cuillère à soupe  de crème fraîche']""]",recipe-infos__level__container--level-1,Velouté de chou- fleur,6 personnes,00h35,Entrée,50,,0
112,recipe-infos__level__container--level-1,"[""['1 chou-fleur'"", "" '2tranche  de jambon'"", "" '20cl  de crème fraîche'"", "" '150g  de gruyère râpé']""]",recipe-infos__level__container--level-1,Chou-fleur gratiné au jambon,4 personnes,1h00,Plat principal,0,,0
113,recipe-infos__level__container--level-1,"[""['1.2kg  de choucroute'"", "" '2 côte de porc'"", "" '2tranche  de viande'"", "" '200g  de lardons fumés'"", "" 'tranche  de bacon'"", "" '12 saucisse de Francfort'"", "" '3 saucisse'"", ' ""2cuillère à soupe  d\'huile d\'olive""', "" '1 oignon'"", "" '2 feuille de laurier'"", "" ' Thym'"", "" '2 clou de girofle'"", "" '10 genièvre'"", "" '15grain  de poivre'"", "" '2bonne cuillère  de cumin'"", "" '1bouteille  de riesling'"", "" '1cube  de poulet'"", "" ' Pomme de terre'"", ' ""1gousse  d\'ail""]']",recipe-infos__level__container--level-2,Choucroute,5 personnes,3h20,Plat principal,0,Yes,0
114,recipe-infos__level__container--level-3,"[""['3 pomme de terre'"", "" '200g  de choucroute'"", "" '1 oignon'"", "" '1 saucisse'"", "" '3fine tranche  de poitrine fumée'"", "" '40g  de beurre'"", "" '10cl  de vin blanc sec'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Maki de choucroute,4 personnes,00h55,Plat principal,40,Yes,0
115,recipe-infos__level__container--level-2,"[""['feuille  de chou'"", "" ' Chou'"", "" '25g  de sel'"", "" ' Genièvre']""]",recipe-infos__level__container--level-1,Choucroute ( préparation ),1 personnes,00h10,Plat principal,0,,0
116,recipe-infos__level__container--level-3,"[""['2kg  de choucroute'"", "" '1 palette'"", "" '1 porc'"", "" '6 saucisse'"", "" '4 saucisse de Montbéliard'"", "" '1 saucisse de morteau'"", "" '3tranche  de lard fumé'"", "" '1morceau  de boudin noir'"", "" '15 genièvre'"", "" '2 clou de girofle'"", "" '2 oignon'"", "" '2 pomme'"", "" '1 couenne'"", "" '1cuillère  de saindoux'"", "" '1l  de vin blanc'"", "" '2kg  de pomme de terre']""]",recipe-infos__level__container--level-2,Choucroute savernoise,8 personnes,10h00,Plat principal,0,Yes,0
117,recipe-infos__level__container--level-1,"[""['500g  de choucroute'"", "" '2 pomme de terre'"", "" '2 bouillon de volaille'"", "" '1 feuille de laurier'"", "" '200g  de lardons fumés']""]",recipe-infos__level__container--level-1,Soupe à la Choucroute,6 personnes,1h20,Plat principal,0,,0
118,recipe-infos__level__container--level-3,"[""['12 clémentine'"", ' ""4 jaune d\'oeuf""', "" '30cl  de vin blanc'"", "" '60g  de sucre en poudre'"", "" 'demi  de citron']""]",recipe-infos__level__container--level-1,Gratin de clémentines,6 personnes,00h30,Dessert,0,,4
119,recipe-infos__level__container--level-2,"[""['1kg  de clémentine'"", "" '2 sucre'"", "" '1noisette  de beurre'"", "" '2 cannelle'"", "" '2 muscat'"", "" ' Eau']""]",recipe-infos__level__container--level-1,Compotée de clémentines,2 personnes,00h30,Accompagnement,1,,0
120,recipe-infos__level__container--level-2,"[""['2 caille'"", "" '100g  de champignon frais'"", "" '2 échalote'"", "" '1 clémentine'"", "" '20cl  de vin blanc sec'"", "" '1 noix'"", ' ""1cuillère  d\'huile""', ' ""1pincée  d\'herbes de Provence""', "" 'cuillère à soupe  de crème fraîche']""]",recipe-infos__level__container--level-2,Cailles et clémentine,2 personnes,00h45,Plat principal,0,,0
121,recipe-infos__level__container--level-3,"[""['4 clémentine'"", "" '1 orange'"", "" '1 citron vert'"", "" '1sachet  de sucre vanillé'"", "" '2cuillère à soupe  de miel liquide'"", "" '1cuillère à soupe  de vodka']""]",recipe-infos__level__container--level-2,Clémentines à la Russe,4 personnes,1h30,Dessert,0,,0
122,recipe-infos__level__container--level-3,"[""['6 clémentine'"", "" '5 petit suisse'"", "" '4feuille  de gélatine'"", "" '60g  de sucre glace'"", "" '1boîte  de biscuit à la cuillère'"", "" '4cuillère à soupe  de cointreau'"", ' ""100ml  de jus d\'orange""', ' ""2 blanc d\'oeuf""', "" '1pincée  de sel']""]",recipe-infos__level__container--level-1,Charlotte aux clémentines,8 personnes,12h00,Dessert,0,,2
123,recipe-infos__level__container--level-1,"[""['3 oeuf'"", "" '125g  de noix de coco'"", "" '400g  de lait concentré sucré'"", "" '400ml  de lait écrémé'"", "" ' Caramel']""]",recipe-infos__level__container--level-1,Flan coco,6 personnes,1h00,Dessert,0,,3
124,recipe-infos__level__container--level-2,"[""['1.8kg  de lotte'"", "" '1 poivron rouge'"", "" '1 poivron vert'"", "" '6 tomate'"", "" '400ml  de lait de coco'"", "" '1cuillère  de pâte de curry'"", "" ' Poivre'"", "" ' Sel'"", "" 'morceau  de sucre']""]",recipe-infos__level__container--level-2,Curry de lotte au lait de coco,8 personnes,00h40,Plat principal,0,,0
125,recipe-infos__level__container--level-1,"[""['4 pomme'"", "" '1 pâte brisée'"", "" '100g  de noix de coco'"", "" '1 oeuf'"", "" '50g  de beurre'"", "" '100g  de sucre en poudre'"", "" '20g  de farine']""]",recipe-infos__level__container--level-1,Tarte aux pommes et à la noix de coco,6 personnes,00h55,Dessert,50,,1
126,recipe-infos__level__container--level-1,"[""[' Pâte brisée'"", "" '1kg  de coing'"", "" '150g  de sucre'"", "" '1cuillère à café rase  de cannelle'"", "" '10cl  de crème'"", "" '2 oeuf']""]",recipe-infos__level__container--level-1,Tarte aux coings,6 personnes,1h15,Dessert,0,,2
127,recipe-infos__level__container--level-1,"[""['5 coing'"", "" '3 oeuf'"", "" '200g  de farine'"", "" '100g  de sucre'"", "" '100g  de beurre'"", "" '1 yaourt nature'"", "" '1/2sachet  de levure chimique'"", "" '1cuillère à café  de cannelle']""]",recipe-infos__level__container--level-1,Cake aux coings,10 personnes,1h00,Dessert,100,,3
128,recipe-infos__level__container--level-1,"[""['1kg  de coing'"", ' ""1l  d\'Alcool""', "" '400g  de sucre'"", "" '1 anis étoilé'"", "" '2 orange']""]",recipe-infos__level__container--level-1,Liqueur de coing,10 personnes,00h10,Boisson,0,,0
129,recipe-infos__level__container--level-2,"[""['3 coing'"", "" '2 petit piment'"", "" '350g  de cassonade'"", "" '20cl  de vinaigre'"", "" '1cuillère à soupe  de gingembre']""]",recipe-infos__level__container--level-2,Chutney de coings,2 personnes,1h30,Sauce,0,,0
130,recipe-infos__level__container--level-1,"[""['1 concombre'"", "" '200g  de crème épaisse'"", "" '2cuillère à soupe  de jus de citron'"", "" '20feuille  de menthe'"", "" '5branche  de coriandre'"", ' ""2gousse  d\'ail""', "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Granité de concombre,4 personnes,3h10,Entrée,0,,0
131,recipe-infos__level__container--level-1,"[""['1 concombre'"", "" '20cl  de crème fraîche'"", "" 'feuille  de menthe'"", "" '2 échalote'"", "" '1cuillère à soupe  de vinaigre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Concombres à la menthe,4 personnes,00h15,Entrée,0,,0
132,recipe-infos__level__container--level-2,"[""['3 blanc de poulet'"", "" '250 champignon de Paris'"", "" '1 concombre'"", "" '1l  de bouillon de volaille'"", "" '3cuillère à soupe  de sauce soja'"", "" 'demi  de citron'"", "" ' Beurre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Poulet au concombre,3 personnes,00h50,Plat principal,0,,0
133,recipe-infos__level__container--level-2,"[""['8tranche  de pain de mie'"", "" '1/2 concombre'"", "" '8cuillère à soupe  de crème fraîche épaisse'"", "" 'brin  de ciboulette'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Sandwichs de concombre,4 personnes,00h10,Entrée,0,,0
134,recipe-infos__level__container--level-2,"[""['1botte  de coriandre'"", ' ""2gousse  d\'ail""', ' ""80g  d\'amande""', ' ""8cuillère à soupe  d\'huile d\'olive""', "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Pesto de coriandre,10 personnes,00h10,Sauce,0,,0
135,recipe-infos__level__container--level-1,"[""['3 avocat'"", "" '1gros bouquet  de coriandre'"", "" ' Ciboule'"", "" ' Sauce soja'"", ' "" Huile d\'olive""', "" ' Poivre'"", "" ' Sel'"", "" '1pincée  de curry'"", ' ""1cuillère à soupe  d\'épices""]']",recipe-infos__level__container--level-2,Avocats à la coriandre,6 personnes,00h15,Entrée,0,,0
136,recipe-infos__level__container--level-2,"[""['3 aubergine'"", "" '1boîte de conserve  de tomate'"", "" '1 oignon'"", "" '1 gingembre'"", "" '1 petit piment'"", ' ""2gousse  d\'ail""', "" '1cuillère à café  de cumin'"", "" '1bouquet  de coriandre'"", ' "" Huile d\'olive""', "" ' Poivre']""]",recipe-infos__level__container--level-2,Aubergines à la coriandre,4 personnes,00h50,Accompagnement,0,Yes,0
137,recipe-infos__level__container--level-1,"[""['12.5cl  de sauce soja'"", "" '25cl  de mirin'"", "" '2 oignon'"", ' ""2gousse  d\'ail""', "" '20g  de gingembre'"", "" '1cuillère à soupe  de sucre'"", ' ""16 côtelette d\'agneau""]']",recipe-infos__level__container--level-1,Côtelettes à la coréenne,4 personnes,00h45,Plat principal,0,Yes,0
138,recipe-infos__level__container--level-2,"['[""12 côtelette d\'agneau""', "" '4 oeuf'"", "" '50g  de farine'"", "" '30cl  de lait'"", "" '70g  de parmesan râpé'"", "" '200g  de chapelure'"", "" '70g  de beurre'"", ' ""1filet  d\'huile""', "" '1branche  de thym'"", "" '1pincée  de sel'"", "" '1pincée  de poivre']""]",recipe-infos__level__container--level-1,Côtelettes panées,6 personnes,00h35,Plat principal,70,,4
139,recipe-infos__level__container--level-2,"['[""4 côtelette d\'agneau""', ' ""1 jaune d\'oeuf""', "" '50g  de farine'"", "" '50g  de chapelure'"", "" ' Poivre'"", "" ' Sel'"", "" ' Beurre'"", "" ' Sésame']""]",recipe-infos__level__container--level-2,Côtelettes d'agneau panées,2 personnes,00h18,Plat principal,0,,1
140,recipe-infos__level__container--level-1,"['[""8 côtelette d\'agneau""', "" '2 oeuf'"", "" '2cuillère à soupe  de moutarde'"", "" '6cuillère à soupe  de chapelure'"", "" '1cuillère à soupe  de persil'"", ' ""1cuillère à soupe  d\'herbes de Provence""', ' ""1cuillère à soupe  d\'huile""', "" ' Beurre'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Côtelettes d'agneau en croûte d'herbes,4 personnes,00h35,Plat principal,0,,2
141,recipe-infos__level__container--level-1,"['[""8 côtelette d\'agneau""', "" '2 citron'"", "" '2 échalote'"", ' ""1gousse  d\'ail""', "" ' Herbes de Provence'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Côtelettes d'agneau au citron et aux herbes,4 personnes,00h20,Plat principal,0,,0
142,recipe-infos__level__container--level-1,"[""['600g  de courge'"", "" '2 oeuf'"", "" '2cuillère à soupe  de crème fraîche épaisse'"", "" '100g  de gruyère'"", "" ' Poivre'"", "" ' Sel'"", "" ' Muscade']""]",recipe-infos__level__container--level-1,Gratin de courge facile,4 personnes,1h00,Accompagnement,0,,2
143,recipe-infos__level__container--level-1,"[""['1kg  de courge'"", ' ""1gousse  d\'ail""', "" '2 oignon'"", "" '2 pomme'"", "" '3 gingembre'"", "" '1cuillère à café  de curry'"", "" ' Poivre'"", "" ' Sel'"", ' "" Huile d\'olive""]']",recipe-infos__level__container--level-1,Soupe de courge,4 personnes,00h45,Entrée,0,Yes,0
144,recipe-infos__level__container--level-1,"[""['1 courge'"", "" '200g  de poitrine fumée'"", ' ""2cuillère à soupe  d\'herbes""', "" '2cuillère à soupe  de pignons'"", "" ' Poivre'"", "" ' Sel'"", "" ' Muscade'"", "" ' Crème liquide'"", "" ' Parmesan râpé']""]",recipe-infos__level__container--level-1,Gratin de courge butternut,4 personnes,00h25,Plat principal,0,,0
145,recipe-infos__level__container--level-1,"[""['1.5kg  de courge'"", ' ""1/2verre  d\'huile d\'olive""', "" '1cuillère à soupe  de farine'"", ' ""4gousse  d\'ail""', "" '1petit bouquet  de persil'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Gratin de courge,6 personnes,1h05,Accompagnement,0,,0
146,recipe-infos__level__container--level-3,"[""['2 courgette'"", "" '600g  de porc'"", "" ' Poivre'"", "" ' Sel'"", ' ""50g  d\'huile d\'olive""', "" '1 oignon'"", "" '20cl  de coulis de tomate'"", "" '50g  de fromage râpé']""]",recipe-infos__level__container--level-2,Courgettes farcies,4 personnes,1h10,Plat principal,0,Yes,0
147,recipe-infos__level__container--level-2,"[""['600g  de courgette'"", "" '400g  de pomme de terre'"", ' ""4gousse  d\'ail""', "" '200g  de comté'"", "" '20g  de beurre'"", "" '40cl  de crème fraîche épaisse'"", "" '15cl  de lait'"", "" '1pincée  de muscade'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-2,Dauphinois de courgettes,4 personnes,1h20,Accompagnement,20,,0
148,recipe-infos__level__container--level-1,"[""['4 courgette'"", "" '3 oignon'"", "" '100g  de gruyère râpé'"", "" '2 oeuf'"", "" '2cuillère à soupe  de crème fraîche'"", "" '1noix  de beurre'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Gratin de courgettes rapide,4 personnes,00h30,Accompagnement,1,Yes,2
149,recipe-infos__level__container--level-2,"['[""1.5l  d\'eau""', "" '1botte  de cresson'"", "" '50g  de beurre'"", "" '3cuillère à soupe  de crème fraîche'"", "" '4 pomme de terre']""]",recipe-infos__level__container--level-1,Potage au cresson,4 personnes,00h40,Plat principal,50,,0
150,recipe-infos__level__container--level-2,"[""['2botte  de cresson'"", "" '30g  de beurre'"", "" '1.5 eau'"", "" '3 cube de bouillon'"", "" ' Crème fraîche']""]",recipe-infos__level__container--level-1,Velouté de cresson,4 personnes,00h50,Entrée,30,,0
151,recipe-infos__level__container--level-2,"[""['6morceau  de poulet'"", "" '1botte  de cresson'"", "" '1 oignon'"", "" '1 bouillon'"", "" ' Sel'"", "" ' Poivre']""]",recipe-infos__level__container--level-1,Poulet au cresson,6 personnes,1h20,Plat principal,0,Yes,0
152,recipe-infos__level__container--level-1,"[""['1botte  de cresson'"", "" '2 pomme de terre'"", "" '1/2bûche  de fromage de chèvre'"", "" '1/2 oignon'"", "" '1noix  de beurre']""]",recipe-infos__level__container--level-1,Velouté de cresson au chèvre,4 personnes,00h25,Entrée,1,Yes,0
153,recipe-infos__level__container--level-1,"[""['1botte  de cresson'"", "" '3 pomme de terre'"", "" '1 oignon'"", "" '1 feuille de laurier'"", "" '1l  de bouillon'"", "" '40g  de beurre'"", "" '10cl  de crème fraîche'"", "" ' Muscade'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-1,Velouté de cresson aux pommes de terre,4 personnes,1h00,Entrée,40,Yes,0
154,recipe-infos__level__container--level-2,"[""['800g  de crevette rose'"", "" '2 carotte'"", "" '3 tomate'"", "" '10cl  de vin blanc sec'"", "" '20cl  de crème fraîche'"", "" '1cuillère à soupe  de maïzena'"", "" '20g  de beurre'"", "" '1 bouquet garni'"", "" '1 oignon'"", "" '1 citron vert'"", "" ' Poivre'"", "" ' Sel']""]",recipe-infos__level__container--level-2,Blanquette de crevettes,4 personnes,00h55,Plat principal,20,Yes,0
155,recipe-infos__level__container--level-2,"[""['500g  de crevette'"", "" '20g  de beurre'"", "" '1 oignon'"", ' ""2gousse  d\'ail""', "" '1cuillère à soupe  de curry'"", "" '250g  de tomate'"", "" '2cuillère à soupe  de jus de citron']""]",recipe-infos__level__container--level-2,Curry de crevettes (Sud de l'Inde),4 personnes,00h35,Plat principal,20,Yes,0
156,recipe-infos__level__container--level-1,"[""['300g  de crevette rose'"", "" '2cuillère à soupe  de crème'"", "" '1cuillère à café  de curry'"", ' ""2cuillère à café  d\'huile d\'olive""]']",recipe-infos__level__container--level-2,Crevettes au curry express,2 personnes,00h15,Plat principal,0,,0
